Name,Score,Opponent,Week
Ryan,0.1,Ryan,0
Jacob,0.02,Jacob,0
Mike,0.03,Mike,0
Zach,0.04,Zach,0
Mitch,0.05,Mitch,0
Tony,0.06,Tony,0
Ben,0.01,Ben,0
Wayne,0.08,Wayne,0
Connor,0.09,Connor,0
Clayton,0.07,Clayton,0
Ryan,108.4,Jacob,1
Jacob,122.8,Ryan,1
Mike,129,Zach,1
Zach,118.7,Mike,1
Mitch,101.58,Tony,1
Tony,121.18,Mitch,1
Ben,125.14,Wayne,1
Wayne,165.46,Ben,1
Connor,159.02,Clayton,1
Clayton,172.14,Connor,1
Ryan,122.74,Ben,2
Jacob,144.72,Wayne,2
Mike,129.46,Tony,2
Zach,172.08,Clayton,2
Mitch,134.4,Connor,2
Tony,160.42,Mike,2
Ben,147.7,Ryan,2
Wayne,123.78,Jacob,2
Connor,103.7,Mitch,2
Clayton,142.88,Zach,2
Ryan,111.6,Wayne,3
Jacob,130.42,Ben,3
Mike,154.38,Mitch,3
Zach,146.18,Connor,3
Mitch,130.54,Mike,3
Tony,144.2,Clayton,3
Ben,143.08,Jacob,3
Wayne,117.98,Ryan,3
Connor,133.42,Zach,3
Clayton,163.1,Tony,3
Ryan,114.62,Connor,4
Jacob,114.7,Tony,4
Mike,137.52,Wayne,4
Zach,102.7,Ben,4
Mitch,150.52,Clayton,4
Tony,141.8,Jacob,4
Ben,186.78,Zach,4
Wayne,169.06,Mike,4
Connor,144.88,Ryan,4
Clayton,120.64,Mitch,4
Ryan,155.62,Clayton,5
Jacob,127.34,Mitch,5
Mike,124.2,Ben,5
Zach,117.2,Wayne,5
Mitch,114.42,Jacob,5
Tony,93.08,Connor,5
Ben,131.94,Mike,5
Wayne,132.12,Zach,5
Connor,137.66,Tony,5
Clayton,187.7,Ryan,5
Ryan,123.02,Zach,6
Jacob,149.84,Clayton,6
Mike,117.94,Connor,6
Zach,121.28,Ryan,6
Mitch,107.84,Ben,6
Tony,84.58,Wayne,6
Ben,155.34,Mitch,6
Wayne,112.08,Tony,6
Connor,125.3,Mike,6
Clayton,143.4,Jacob,6
Ryan,147.3,Mike,7
Jacob,122.42,Connor,7
Mike,118.16,Ryan,7
Zach,125.82,Tony,7
Mitch,144.5,Wayne,7
Tony,129.52,Zach,7
Ben,84.8,Clayton,7
Wayne,125.38,Mitch,7
Connor,194,Jacob,7
Clayton,82.9,Ben,7
Ryan,104.72,Tony,8
Jacob,91.84,Mike,8
Mike,136.52,Jacob,8
Zach,98.16,Mitch,8
Mitch,158.92,Zach,8
Tony,146.24,Ryan,8
Ben,143.12,Connor,8
Wayne,101.36,Clayton,8
Connor,134.54,Ben,8
Clayton,105.24,Wayne,8
Ryan,119.82,Mitch,9
Jacob,98.66,Zach,9
Mike,120.8,Clayton,9
Zach,115.24,Jacob,9
Mitch,139.64,Ryan,9
Tony,95.2,Ben,9
Ben,155.02,Tony,9
Wayne,129.9,Connor,9
Connor,147.14,Wayne,9
Clayton,108.18,Mike,9
Ryan,120.6,Jacob,10
Jacob,,Ryan,10
Mike,,Zach,10
Zach,122.94,Mike,10
Mitch,,Tony,10
Tony,,Mitch,10
Ben,58.28,Wayne,10
Wayne,154.86,Ben,10
Connor,116.2,Clayton,10
Clayton,,Connor,10
